id_prov,id_ha,id_hsda,id_lha,label_lha,label_hsda,label_ha,label_prov,color_ha,color_ha_label,color_hsda,color_hsda_label,color_prov,color_prov_label
0,3,33,45,West Vancouver-Bowen Island,North Shore/Coast Garibaldi,Vancouver Coastal,BC,#377eb8,blue,#2171b5,dark blue,#ffffff,white
0,3,33,46,Sunshine Coast,North Shore/Coast Garibaldi,Vancouver Coastal,BC,#377eb8,blue,#2171b5,dark blue,#ffffff,white
0,3,33,47,Powell River,North Shore/Coast Garibaldi,Vancouver Coastal,BC,#377eb8,blue,#2171b5,dark blue,#ffffff,white
0,3,33,48,Howe Sound,North Shore/Coast Garibaldi,Vancouver Coastal,BC,#377eb8,blue,#2171b5,dark blue,#ffffff,white
0,3,33,49,Bella Coola Valley,North Shore/Coast Garibaldi,Vancouver Coastal,BC,#377eb8,blue,#2171b5,dark blue,#ffffff,white
0,3,33,83,Central Coast,North Shore/Coast Garibaldi,Vancouver Coastal,BC,#377eb8,blue,#2171b5,dark blue,#ffffff,white
0,4,41,61,Greater Victoria,South Vancouver Island,Vancouver Island,BC,#984ea3,purple,#cbc9e2,light purple,#ffffff,white
0,4,41,62,Sooke,South Vancouver Island,Vancouver Island,BC,#984ea3,purple,#cbc9e2,light purple,#ffffff,white
0,4,41,63,Saanich,South Vancouver Island,Vancouver Island,BC,#984ea3,purple,#cbc9e2,light purple,#ffffff,white
0,4,41,64,Gulf Islands,South Vancouver Island,Vancouver Island,BC,#984ea3,purple,#cbc9e2,light purple,#ffffff,white
0,4,42,65,Cowichan,Central Vancouver Island,Vancouver Island,BC,#984ea3,purple,#9e9ac8,medium purple,#ffffff,white
0,4,42,66,Lake Cowichan,Central Vancouver Island,Vancouver Island,BC,#984ea3,purple,#9e9ac8,medium purple,#ffffff,white
0,4,42,67,Ladysmith,Central Vancouver Island,Vancouver Island,BC,#984ea3,purple,#9e9ac8,medium purple,#ffffff,white
0,4,42,68,Nanaimo,Central Vancouver Island,Vancouver Island,BC,#984ea3,purple,#9e9ac8,medium purple,#ffffff,white
0,4,42,69,Qualicum,Central Vancouver Island,Vancouver Island,BC,#984ea3,purple,#9e9ac8,medium purple,#ffffff,white
0,4,42,70,Alberni,Central Vancouver Island,Vancouver Island,BC,#984ea3,purple,#9e9ac8,medium purple,#ffffff,white
0,4,43,71,Courtenay,North Vancouver Island,Vancouver Island,BC,#984ea3,purple,#6a51a3,dark purple,#ffffff,white
0,4,43,72,Campbell River,North Vancouver Island,Vancouver Island,BC,#984ea3,purple,#6a51a3,dark purple,#ffffff,white
0,4,43,84,Vancouver Island West,North Vancouver Island,Vancouver Island,BC,#984ea3,purple,#6a51a3,dark purple,#ffffff,white
0,4,43,85,Vancouver Island North,North Vancouver Island,Vancouver Island,BC,#984ea3,purple,#6a51a3,dark purple,#ffffff,white
0,5,51,50,Queen Charlotte,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,51,Snow Country,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,52,Prince Rupert,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,53,Upper Skeena,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,54,Smithers,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,80,Kitimat,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,87,Stikine,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,88,Terrace,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,92,Nisga'a,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,51,94,Telegraph Creek,Northwest,Northern,BC,#ff7f00,orange,#fdbe85,light orange,#ffffff,white
0,5,52,28,Quesnel,Northern Interior,Northern,BC,#ff7f00,orange,#fd8d3c,medium orange,#ffffff,white
0,5,52,55,Burns Lake,Northern Interior,Northern,BC,#ff7f00,orange,#fd8d3c,medium orange,#ffffff,white
0,5,52,56,Nechako,Northern Interior,Northern,BC,#ff7f00,orange,#fd8d3c,medium orange,#ffffff,white
0,5,52,57,Prince George,Northern Interior,Northern,BC,#ff7f00,orange,#fd8d3c,medium orange,#ffffff,white
0,5,53,59,Peace River South,Northeast,Northern,BC,#ff7f00,orange,#d94701,dark orange,#ffffff,white
0,5,53,60,Peace River North,Northeast,Northern,BC,#ff7f00,orange,#d94701,dark orange,#ffffff,white
0,5,53,81,Fort Nelson,Northeast,Northern,BC,#ff7f00,orange,#d94701,dark orange,#ffffff,white
